OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
USGS-CA,USGS California Water Science Center,nwisca.01.00003812,Sample-Routine,Water,Surface Water,2000-05-23,14:45:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-415552122263101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.260,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00003887,Sample-Routine,Water,Surface Water,2000-06-05,12:50:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-415552122263101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.350,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00003888,Sample-Routine,Water,Surface Water,2000-06-05,16:00:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-415552122263101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.290,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00003902,Sample-Routine,Water,Surface Water,2000-06-05,07:40:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-415552122263101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.250,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00003823,Sample-Routine,Water,Surface Water,2000-06-06,12:40:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-415552122263101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.210,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00003904,Sample-Routine,Water,Surface Water,2000-06-06,07:20:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-415552122263101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.260,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00003906,Sample-Routine,Water,Surface Water,2000-06-06,12:50:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-415552122263101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.440,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00003912,Sample-Routine,Water,Surface Water,2000-06-06,16:00:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-415552122263101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.280,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00003923,Sample-Routine,Water,Surface Water,2000-06-07,11:00:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-415552122263101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.260,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00003924,Sample-Routine,Water,Surface Water,2000-06-07,16:00:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-415552122263101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.250,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00003932,Sample-Routine,Water,Surface Water,2000-06-07,13:00:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-415552122263101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.280,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
