OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CA,USGS California Water Science Center,USGS-11488495,LOST R NR HATFIELD CA,Stream,,18010204,,,,,41.9538889,-121.5033333,24000,1,seconds,Interpolated from MAP.,NAD83,4035,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,093,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11488510,TULELAKE CN A SHEEPY RIDGE PUMPING STA NR HATFIELD,Stream,,18010204,,,,,41.9247222,-121.566111,24000,1,seconds,Interpolated from MAP.,NAD83,4039,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,093,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11517500,SHASTA R NR YREKA CA,Stream,,18010207,793,sq mi,,,41.8229179,-122.5955813,,5,seconds,Interpolated from MAP.,NAD83,2000.00,feet,17,feet,Interpolated from topographic map.,NGVD29,US,06,093,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11520000,SCOTT R NR SCOTT BAR CA,Stream,,18010208,804,sq mi,,,41.7748543,-123.0344836,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,093,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11520500,KLAMATH R NR SEIAD VALLEY CA,Stream,,18010206,6940,sq mi,,,41.8537379,-123.2322733,,5,seconds,Interpolated from MAP.,NAD83,1320.00,feet,17,feet,Interpolated from topographic map.,NGVD29,US,06,093,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-415552122263101,KLAMATH R BL IRONGATE RES NR COPCO CA,Stream,,18010206,,,,,41.9310833,-122.44195,24000,1,seconds,Interpolated from MAP.,NAD83,2170,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,093,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-415950121463701,KLAMATH STR DR A HY 161 NR DORRIS CA,Stream,,18010204,,,,,41.9970935,-121.778054,24000,1,seconds,Interpolated from MAP.,NAD83,4085,feet,10,feet,Interpolated from topographic map.,NGVD29,US,06,093,,,,,,,,,NWIS
USGS-OR,USGS Oregon Water Science Center,USGS-11486990,"LOST R DIVERSION AT TINGLEY LN NR KLAMATH FALLS,OR",Stream,,18010204,,,,,42.1676459,-121.776391,,1,seconds,Interpolated from MAP.,NAD83,4076.62,feet,5,feet,Level or other surveyed method.,NAVD88,US,41,035,,,,,,,,,NWIS
USGS-OR,USGS Oregon Water Science Center,USGS-11504115,"WOOD RIVER NEAR KLAMATH AGENCY, OR",Stream,,18010203,78.8,sq mi,,,42.5815556,-121.9417028,24000,1,seconds,Interpolated from Digital MAP.,NAD83,4147,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,41,035,,,,,,,,,NWIS
USGS-OR,USGS Oregon Water Science Center,USGS-11507501,"LINK RIVER BELOW KENO CANAL, NEAR KLAMATH FALLS,OR",Stream,,18010204,,,,,42.2193114,-121.7902816,24000,1,seconds,Interpolated from MAP.,NAD83,4087,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,41,035,,,,,,,,,NWIS
USGS-OR,USGS Oregon Water Science Center,USGS-11509105,"NORTH CANAL AT HIGHWAY 97, NEAR MIDLAND, OR",Stream: Canal,,18010204,,,,,42.1223682,-121.8300033,,1,seconds,Interpolated from MAP.,NAD83,4080.27,feet,5,feet,Level or other surveyed method.,NAVD88,US,41,035,,,,,,,,,NWIS
USGS-OR,USGS Oregon Water Science Center,USGS-11509200,"ADY CANAL AT HIGHWAY 97, NEAR WORDEN, OR",Stream: Canal,,18010204,,,,,42.0808889,-121.8446389,,1,seconds,Interpolated from Digital MAP.,NAD83,4103,feet,20,feet,Interpolated from topographic map.,NGVD29,US,41,035,,,,,,,,,NWIS
USGS-OR,USGS Oregon Water Science Center,USGS-11509370,"KLAMATH RIVER ABOVE KENO DAM, AT KENO, OR",Stream,,18010204,,,,,42.1279223,-121.9288964,24000,1,seconds,Interpolated from MAP.,NAD83,4087,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,41,035,,,,,,,,,NWIS
USGS-OR,USGS Oregon Water Science Center,USGS-11509500,"KLAMATH RIVER AT KENO, OR",Stream,,18010206,3920,sq mi,,,42.1331995,-121.9622313,,1,seconds,Interpolated from MAP.,NAD83,3961,feet,10,feet,Interpolated from topographic map.,NGVD29,US,41,035,,,,,,,,,NWIS
